Dataset A T N Solutions Winners Losers Runtime
FARmiss
FARmiss
FARmiss
FARmiss
FARmiss
FARmiss
FARmiss
FARmiss
FARmiss
FARmiss
horse_c
horse_c
horse_c
horse_c
horse_c
horse_c
horse_c
horse_c
horse_c
horse_c
uspop_2
uspop_2
uspop_2
uspop_2
uspop_2
uspop_2
uspop_2
uspop_2
uspop_2
uspop_2
volcano
volcano
volcano
volcano
volcano
volcano
volcano
volcano
volcano
volcano
vehicle
vehicle
vehicle
vehicle
vehicle
vehicle
vehicle
vehicle
vehicle
vehicle
