timestamp,puechabon_rainfall (mm),puechabon_evapotranspiration (mm),puechabon_global_radiation (MJ.m-2),puechabon_gross_primary_production (gC/m2),puechabon_ecosystem_respiration (gC/m2),puechabon_net (gC/m2),puechabon_photosynthetic_active_radiation (mol.m-2),puechabon_air_temperature_average (°C),puechabon_soil_temperature (°C)
2000-09-09 01:00:00,121.5,31.4736967626218,261.18736416,117.405471384,122.877070632,5.47160011199999,639.834971175,17.31458382285,17.7521095679012
2000-11-04 00:00:00,52.8,23.0377331463361,110.71994976,70.625723472,73.738429056,3.112697592,252.656712675,9.17204816118333,10.6562697901146
2000-12-02 00:00:00,159.5,17.1732154235846,116.28267336,38.053232352,56.161394496,18.108174024,276.77084805,8.5966417253871,9.36160985448695
2001-09-08 01:00:00,99.5,20.2330081853948,250.10338734,72.085358808,74.074704768,1.989349632,596.0941227,16.0946266635333,17.6308171296296
2001-10-06 01:00:00,154.5,29.273516428628,205.61289966,119.350651176,164.319580584,44.96892876,301.60845315,15.4903862373065,15.988810483871
2002-08-10 01:00:00,88,32.9641865650138,396.44410608,66.240184104,81.23699196,14.99681304,887.18360805,20.0305723536774,20.1470116487455
2003-08-09 01:00:00,36.7,39.446451882287,426.85861302,57.8125727829313,103.559739174931,45.747166392,993.9538188,26.6990751345161,23.5135663082437
2003-09-06 01:00:00,150.5,38.1890115798644,244.97174412,106.304969168745,111.436952696745,5.131983528,528.70784535,17.9421141186667,18.2695092592593
2003-10-04 01:00:00,166.2,30.609743830878,146.46831804,107.292058488,110.092023288,2.799961776,294.956848575,12.1011906543548,13.9049843189964
2003-11-01 00:00:00,307.9,15.5163951199698,123.59927862,81.889354728,90.930455712,9.041095152,247.30514595,9.47427782733334,10.6136412037037
2004-08-07 01:00:00,100.196,56.0545299860837,424.54643886,147.803294376,151.988254416,4.184961984,970.536555,21.390233801129,20.2833400537634
2004-10-02 01:00:00,125.244,19.3887817253281,203.17350042,113.892286896,120.479286384,6.587008776,435.2140674,14.6288472670968,15.6114538530466
2005-07-09 01:00:00,7.878,39.4742971899301,662.03829954,87.992619624,88.789041864,0.796420512000002,1415.176002,22.9188668548387,21.4635707885305
2005-08-06 01:00:00,14.342,23.5155061230156,421.73847342,40.78835028,66.384057384,25.595710344,885.5325396,21.8278082903226,20.7751792114695
2005-09-03 01:00:00,255.2504,31.6377602405836,193.440717,94.366574208,108.137076408,13.77050544,417.289068,18.62542905,18.1993148148148
2005-10-01 01:00:00,227.854,16.5222174701259,191.65770774,82.203473808,124.129417464,41.925947544,394.2728982,14.7996764677419,15.6108019713262
2005-10-29 01:00:00,73.73,19.534638946447,168.85150326,64.340939736,77.64458364,13.303646928,358.7807196,7.92453175833333,10.5500583333333
2005-11-26 00:00:00,6.868,8.94098685888479,158.24449818,34.436286216,35.94482028,1.508531256,338.6243916,2.84808660322581,5.28901276881721
2006-07-08 01:00:00,9.6,25.5961953844004,642.74308866,34.960019248,39.182672152,4.222650528,1377.5752746,26.3981207096774,23.0412343189964
2006-08-05 01:00:00,25.4,23.2660392109712,391.60489068,59.508272864,62.960487032,3.452205744,840.573297,21.0620528548387,20.7068167562724
2006-09-02 01:00:00,199.4,27.721955279958,269.49650778,75.5147937174648,103.726723128,28.2119278985352,578.300895,19.5413361166667,18.7140787037037
2006-09-30 01:00:00,167.5,29.0485931445501,186.90207786,117.700153312,133.245281056,15.545134008,425.9783322,16.0194219354839,15.9671012544803
2006-10-28 01:00:00,36.6,27.8393709206441,160.50669534,84.07654524,84.199542984,0.122992343999997,361.7701056,11.6527514416667,12.6445092592593
2007-09-01 01:00:00,104.2,27.9519155775857,315.6403302,69.851688336,77.428911744,7.577229024,680.7690216,18.0881532166667,18.1196967592593
2007-09-29 01:00:00,109.1,39.6446928976661,219.43482066,109.16282412,116.933759136,7.77092637599999,498.2622066,13.6301584887097,14.0146348566308
2008-09-27 01:00:00,46.9,11.4143573772515,169.377637158,49.4747645759999,71.4559866480002,21.98120868,377.7272226,13.8607078145161,14.2240356182796
2008-10-25 01:00:00,330.5,18.0072125813009,138.5463260088,61.0568532720001,65.96714844,4.91029603199999,322.8125976,8.78774830333333,9.67294027777778
2008-11-22 00:00:00,166.7,10.3801457469196,179.514986553,34.136500032,37.473170184,3.336671232,399.0306474,4.91246888548387,5.62950380824373
2009-08-01 01:00:00,9.292,27.6616806246808,462.012697147518,43.324952976,61.3371065759999,18.0121516559999,1012.18709842912,24.3314328057143,21.9599217607106
2009-08-29 01:00:00,32.724,23.5369564823547,351.4664906424,44.908821576,59.0889833280001,14.1801684480001,797.4905904,19.6741348833333,18.5083554292929
2009-11-21 00:00:00,32.5,7.07270702095622,156.970188891,48.028985856,54.8822869920001,6.85329811200001,364.0214664,5.24646532903226,7.41709184587814
2010-07-31 01:00:00,9.292,19.0933135625805,456.711373737,40.8400243920001,50.973842592,10.133822304,1031.023125,23.1470279714286,21.5703987455197
2010-08-28 01:00:00,56.96,26.554312910996,296.55999558,76.07127528,87.899056416,11.827783728,664.9619202,17.7190184166667,17.6728958333333
2010-09-25 01:00:00,138.976,19.1545150185331,184.9387865436,82.668582936,87.3772233119999,4.70862828,422.8634394,12.7854759,13.2790918458781
2010-11-20 00:00:00,109.888,5.95184076371801,171.4781505078,42.4296347040001,44.5033494,2.073719232,383.9579118,4.37776168870968,5.47377393078525
2011-09-24 01:00:00,159.4,13.1577793327825,118.39501989576,42.586027128,63.4752244800001,20.88920016,226.467341946,15.8857527419355,15.8236021505376
