date_time,id_site,Tpic,Dir,Etal,Tz,Hm0,Ts1,Ts2,Tc,Tav,Tint,Tp,EPS2,EPS4,Qp,S2,Tref,Tw,Batt,timestamp
2012-01-20 09:59:00,1,5.5600000000,236.7000000000,15.2000000000,3.6000000000,1.0300000000,4.4100000000,3.8200000000,2.8800000000,4.0100000000,4.7000000000,5.1000000000,0.3399250000,0.6051620000,2.1405830000,0.0508440000,24.9000000000,11.7500000000,3.0000000000,2012-01-20 10:00:00
2012-01-20 10:29:00,1,5.2600000000,239.6000000000,12.5000000000,3.7400000000,1.0700000000,4.5900000000,3.9500000000,2.9400000000,4.1600000000,4.6900000000,5.3200000000,0.3484250000,0.6168220000,2.0195940000,0.0490800000,24.9000000000,11.9500000000,3.0000000000,2012-01-20 10:30:00
2012-01-20 10:59:00,1,5.8800000000,233.9000000000,14.3000000000,3.9600000000,1.2400000000,4.9200000000,4.2400000000,3.0300000000,4.4600000000,5.3500000000,5.7100000000,0.3683190000,0.6484340000,2.1384580000,0.0506780000,24.9000000000,11.9000000000,3.0000000000,2012-01-20 11:00:00
2012-01-20 11:29:00,1,5.5600000000,239.6000000000,13.9000000000,3.7700000000,1.1800000000,4.8100000000,4.0500000000,2.8800000000,4.3000000000,4.8800000000,5.7100000000,0.3816030000,0.6471300000,1.8887020000,0.0531190000,24.9000000000,11.9500000000,3.0000000000,2012-01-20 11:30:00
2012-01-20 11:59:00,1,5.8800000000,233.9000000000,15.2000000000,3.7000000000,1.2300000000,4.6500000000,3.9500000000,2.8900000000,4.1800000000,4.6800000000,5.4800000000,0.3670160000,0.6286740000,1.8851870000,0.0574790000,24.9000000000,11.9000000000,3.0000000000,2012-01-20 12:00:00
2012-01-20 12:29:00,1,5.5600000000,239.6000000000,12.5000000000,3.8100000000,1.3300000000,4.6400000000,4.0300000000,3.0500000000,4.2300000000,4.7600000000,5.3300000000,0.3329170000,0.6022390000,2.0382350000,0.0587470000,24.9000000000,11.9500000000,3.0000000000,2012-01-20 12:30:00
2012-01-20 12:59:00,1,5.8800000000,235.3000000000,10.3000000000,3.8500000000,1.2900000000,4.7000000000,4.0600000000,3.0000000000,4.2700000000,5.1800000000,5.4400000000,0.3504820000,0.6212480000,2.1859960000,0.0559000000,24.9000000000,11.8000000000,3.0000000000,2012-01-20 13:00:00
2012-01-20 09:59:00,2,5.5600000000,236.7000000000,15.2000000000,3.6000000000,1.0300000000,4.4100000000,3.8200000000,2.8800000000,4.0100000000,4.7000000000,5.1000000000,0.3399250000,0.6051620000,2.1405830000,0.0508440000,24.9000000000,11.7500000000,3.0000000000,2012-01-20 10:00:00
2012-01-20 10:59:00,2,5.8800000000,233.9000000000,14.3000000000,3.9600000000,1.2400000000,4.9200000000,4.2400000000,3.0300000000,4.4600000000,5.3500000000,5.7100000000,0.3683190000,0.6484340000,2.1384580000,0.0506780000,24.9000000000,11.9000000000,3.0000000000,2012-01-20 11:00:00
